tick,request_result,observer,consecutive_observed_red,service_account_revoked,role_attached_tick
0,SERVICE_NOT_STARTED,RED,1,0,
1,SERVICE_NOT_STARTED,RED,2,0,
2,SERVICE_NOT_STARTED,RED,3,0,2
3,PERMISSION_DENIED(us-east1),RED,4,1,2
4,SERVICE_ACCOUNT_REVOKED,RED,5,1,2
5,SERVICE_ACCOUNT_REVOKED,RED,6,1,2
6,SERVICE_ACCOUNT_REVOKED,RED,7,1,2
7,SERVICE_ACCOUNT_REVOKED,RED,8,1,2
8,SERVICE_ACCOUNT_REVOKED,RED,9,1,2
9,SERVICE_ACCOUNT_REVOKED,RED,10,1,2
10,SERVICE_ACCOUNT_REVOKED,RED,11,1,2
11,SERVICE_ACCOUNT_REVOKED,RED,12,1,2
12,SERVICE_ACCOUNT_REVOKED,RED,13,1,2
13,SERVICE_ACCOUNT_REVOKED,RED,14,1,2
14,SERVICE_ACCOUNT_REVOKED,RED,15,1,2
